Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud,id_Provincia,id_Localidad,id_Partido
509,--,--,--,--,--,SI,--,--,SI,6357020.0,"-38,0297229162982","-57,7995485049706",0,355,173
0,--,--,--,--,--,SI,--,--,--,6357110.0,"-37,8324145231571","-57,6311155465986",0,358,173
0,--,--,--,SI,--,SI,--,SI,SI,6357110.0,"-37,9050810135269","-57,7391824086455",0,361,173
415,--,--,--,--,--,SI,--,SI,SI,6357050.0,"-37,9068268303117","-57,7858860640391",0,401,173
644,--,--,--,SI,SI,SI,--,SI,SI,6357060.0,"-37,9317157840639","-57,683162032898",0,475,173
10152,SI,--,--,SI,SI,SI,SI,SI,SI,6357070.0,"-38,0086211557001","-57,7085500402678",0,504,173
0,SI,--,--,SI,--,SI,SI,SI,SI,6357090.0,"-37,9130763908367","-57,552463851894",0,611,173
98,--,--,--,--,--,SI,--,--,SI,30008100.0,"-32,0874958453901","-58,3417058444451",7,1665,100
42663,SI,SI,SI,SI,--,SI,SI,SI,SI,6515010.0,"-34,4790933125467","-58,6989741628196",0,1716,260
59169,SI,SI,SI,SI,SI,SI,SI,SI,SI,6515010.0,"-34,5078746726212","-58,7013439131882",0,2238,260
408,--,SI,--,SI,--,SI,--,--,--,6515010.0,"-34,5078746726212","-58,7013439131882",0,2323,260
45901,SI,SI,--,SI,--,--,SI,SI,SI,6515010.0,"-34,4746661471823","-58,7513344097631",0,3416,260
48136,SI,SI,SI,SI,--,SI,SI,SI,SI,6515010.0,"-34,5061507591135","-58,6793063506777",0,3610,260
0,--,--,--,--,--,--,--,SI,SI,6518020.0,"-37,8505519250944","-57,5134595632837",0,243,261
0,--,--,--,--,--,--,--,SI,SI,6518020.0,"-37,8224325083139","-57,4974692762018",0,612,261
6611,SI,SI,--,SI,--,SI,SI,SI,SI,6518010.0,"-37,452214188593","-57,7299500229319",0,1034,261
0,--,--,--,--,--,--,--,SI,SI,6518020.0,"-37,857770246553","-57,5154242437478",0,1485,261
171913,SI,SI,SI,SI,SI,SI,SI,SI,SI,6760010.0,"-34,5536228677773","-58,7347875195953",0,3173,373
0,--,--,--,--,--,--,--,--,--,6763010.0,"-33,4010837029564","-60,2846972878391",0,634,374
2066,SI,--,--,--,SI,--,SI,SI,SI,6763010.0,"-33,5962124822607","-60,3541264450858",0,995,374
434,--,--,--,--,--,SI,--,--,--,6763020.0,"-33,5232449410318","-60,3174454958625",0,1369,374
2464,--,--,--,SI,SI,--,SI,SI,SI,6763030.0,"-33,4758683523604","-60,2874270636731",0,1561,374
5325,--,--,--,--,--,--,--,SI,SI,6763040.0,"-33,3514852802661","-60,3139573529074",0,1892,374
133602,SI,SI,SI,SI,SI,SI,SI,SI,SI,6763050.0,"-33,3487082868277","-60,231333927581",0,3177,374
0,--,--,--,--,--,--,--,SI,--,6763010.0,"-33,3599587304228","-60,3000892882903",0,3583,374
0,--,--,--,--,--,--,--,SI,SI,6763010.0,"-33,3708479748","-60,2954116362263",0,3585,374
386,--,--,--,--,--,--,--,--,--,6763060.0,"-33,422326147095","-60,2605874904382",0,3631,374
0,--,--,--,--,--,--,--,--,--,6763010.0,"-33,3630498059477","-60,2953990898749",0,3763,374
2607,--,--,--,--,--,--,--,SI,SI,6770010.0,"-33,6605787290919","-59,8663408291494",0,1573,375
20,--,--,--,--,--,--,--,--,--,6770015.0,"-33,9314631330704","-59,7482330053997",0,1714,375
261,--,--,--,--,--,--,--,--,SI,6770020.0,"-33,5965558617631","-59,8199792397796",0,2545,375
528,--,--,--,--,--,--,--,--,--,6770030.0,"-33,9050057189811","-59,8187532271261",0,2805,375
1814,--,--,--,SI,--,--,--,SI,SI,6770040.0,"-33,769589927701","-59,6383708591324",0,3026,375
47452,SI,SI,--,SI,SI,SI,SI,SI,SI,6770050.0,"-33,6791252253366","-59,6668951027895",0,3181,375
