Año,Trimestre,id_Provincia,<0.512 mbps,0.512 - 1 Mbps,1 - 6 Mbps,6 - 10 Mbps,10 - 20 Mbps,20 - 30 Mbps,>=30 Mbps,Otros,Total,Total2,Diferencia
2019,3,3,690,1216,32764,28198,13336,12987,16740,6917,112227,112848,-621
2019,3,4,740,8400,62680,13033,7171,124,614,45,90152,92807,-2655
2019,3,5,830,5824,240151,106651,118486,146247,157546,7353,782341,783088,-747
2019,3,6,100,5970,42231,29628,10348,10388,12674,478,110656,111817,-1161
2019,3,7,190,4446,99656,56161,17064,21216,22645,15107,236314,236485,-171
2019,3,8,111,3490,24943,6049,7117,2262,4443,1000,46373,49415,-3042
2019,3,9,270,8850,31722,924,26835,560,3671,16545,88981,89377,-396
2019,3,10,2370,3289,75849,5922,1611,1359,941,1618,90826,92959,-2133
2019,3,11,90,100,38657,4786,4887,220,1307,0,49678,50047,-369
2019,3,12,210,1269,206821,2958,10093,1263,349,0,222774,222963,-189
2019,3,13,470,1928,43530,29375,11256,16107,16650,12206,131099,131522,-423
2019,3,14,450,2258,62909,4586,9597,16923,28458,1220,124898,126401,-1503
2019,3,15,470,1234,87435,2348,9779,10176,15505,17719,144243,144666,-423
2019,3,16,490,9000,43160,6223,14309,11418,12357,7515,151938,104472,47466
2019,3,17,220,1710,68315,2245,1267,410,128,4779,76968,79074,-2106
2019,3,18,570,1000,18643,5113,4670,62242,5,36075,122702,128318,-5616
2019,3,19,280,840,31612,4472,1203,270,4,0,37430,38681,-1251
2019,3,20,6400,8184,242454,193286,107068,84325,97082,19537,752576,758336,-5760
2019,3,21,390,1832,35554,55172,3612,860,1836,34501,132632,133757,-1125
2019,3,22,60,140,32133,4692,1756,820,226,9648,48557,49475,-918
2019,3,23,160,1100,71043,47693,24354,8430,20385,0,164444,173165,-8721
2019,2,0,199768,46852,1436259,217785,438663,502275,985767,43438,3870807,3870807,0
2019,2,1,740,1027,281370,124087,239691,296155,475991,0,1418395,1419061,-666
2019,2,2,340,430,16631,867,6049,340,10,2151,33622,26818,6804
2019,2,3,690,1383,38488,26431,16789,15348,9904,1492,109904,110525,-621
2019,2,4,660,3952,69032,10049,1495,740,165,45,89333,86138,3195
2019,2,5,810,8165,248427,100512,157458,170159,76053,8938,769793,770522,-729
2019,2,6,100,3012,40424,27774,13114,11928,7119,608,109461,104079,5382
2019,2,7,180,5905,100687,52316,23196,24221,10664,17206,234213,234375,-162
2019,2,8,111,3490,26512,5399,8384,2639,2258,1000,46751,49793,-3042
2019,2,9,270,9400,26233,8441,267,270,2600,21765,86733,69246,17487
2019,2,10,2360,3289,75406,5191,1366,1445,629,2661,90223,92347,-2124
2019,2,11,90,110,39819,4297,4857,130,1298,0,50304,50601,-297
2019,2,12,200,2522,205165,2971,10092,1256,234,0,222260,222440,-180
2019,2,13,470,2226,45769,27385,15408,18882,8129,12206,130052,130475,-423
2019,2,14,3020,3038,61776,4688,17318,2121,14132,4220,122886,110313,12573
2019,2,15,3840,1354,86366,2201,10291,12407,6907,18519,138429,141885,-3456
2019,2,16,490,9740,59638,36923,16961,14059,6461,7585,142650,151857,-9207
2019,2,17,220,2130,60913,2177,7850,70,4,6119,70240,79483,-9243
2019,2,18,570,1020,16575,4964,4670,57236,5,37977,117383,123017,-5634
2019,2,19,250,840,24861,3806,1202,280,4,0,30010,31243,-1233
2019,2,20,3210,8427,300124,125176,129741,100131,49865,22323,736108,738997,-2889
2019,2,21,390,1832,63268,21362,3741,1080,1205,34501,126056,127379,-1323
2019,2,22,60,1230,41824,4241,1573,960,32,0,47895,49920,-2025
2019,2,23,160,1570,78891,44296,24291,6280,18394,0,166673,173882,-7209
2019,1,0,162513,72296,1429964,202511,576428,576859,705769,6369,3732709,3732709,0
2019,1,1,740,7417,283787,131007,330122,365713,283463,0,1401583,1402249,-666
